pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag,ra,dec
Kepler-1096 b,2.89221751,,,,1.240,0.370,-0.080,0.66,0.63,4306.00,0,294.709380,45.969501
Kepler-1097 b,187.74702900,,,,3.260,0.260,-0.260,0.82,0.79,5211.00,0,281.594148,42.596416
Kepler-1098 b,2.54307286,,,,1.300,0.240,-0.140,0.99,0.99,5794.00,0,295.502705,43.232796
Kepler-1100 b,6.42200058,,,,1.750,0.820,-0.290,1.21,1.34,6247.00,0,291.871356,44.087376
Kepler-1101 b,81.31510590,,,,2.470,0.370,-0.210,0.94,0.91,5614.00,0,294.569379,45.671257
Kepler-1102 b,51.32856230,,,,2.660,0.530,-0.230,0.96,0.94,5724.00,0,281.322565,48.066505
Kepler-1103 b,19.79191978,,,,2.270,0.610,-0.270,1.11,1.15,6092.00,0,287.382090,49.452396
Kepler-1104 b,5.03728015,,,,1.230,0.140,-0.100,1.30,1.41,6417.00,0,294.468554,49.331024
Kepler-1105 b,4.42157218,,,,2.010,0.060,-0.250,0.71,0.68,4299.00,0,281.111771,42.454931
Kepler-1106 b,1.25275217,,,,1.650,0.490,-0.230,1.11,1.17,6104.00,0,291.145201,44.062546
Kepler-1107 b,0.57103852,,,,1.340,0.100,-0.080,0.86,0.82,5268.00,0,291.049927,39.141674
Kepler-1108 b,4.51005748,,,,1.460,0.140,-0.110,0.88,0.84,5406.00,0,296.042339,45.985146
Kepler-1109 b,37.64673840,,,,2.190,0.440,-0.230,1.05,1.06,5893.00,0,291.646244,39.396624
Kepler-1110 b,9.69312032,,,,2.660,0.380,-0.260,0.73,0.70,4781.00,0,291.808022,38.622703
Kepler-214 b,15.66054400,,,,2.610,0.490,-0.490,,1.35,6169.00,0,284.754851,44.956032
Kepler-214 c,28.77980000,,,,2.130,0.400,-0.400,,1.35,6169.00,0,284.754851,44.956032
Kepler-215 b,9.36067200,,,,1.620,0.400,-0.400,0.77,1.03,5739.00,0,294.973509,45.213688
Kepler-215 c,14.66710800,,,,1.770,0.420,-0.420,0.77,1.03,5739.00,0,294.973509,45.213688
Kepler-215 d,30.86442300,,,,2.390,0.550,-0.550,0.77,1.03,5739.00,1,294.973509,45.213688
Kepler-118 b,7.51849600,,,,1.960,0.940,-0.940,0.86,1.09,5274.00,0,299.213164,41.424824
Kepler-118 c,20.17202000,,,,7.680,3.430,-3.430,0.86,1.09,5274.00,0,299.213164,41.424824
HAT-P-32 b,2.15000805,,,,20.053,0.280,-0.280,,1.22,6269.00,0,31.042848,46.687836
Kepler-115 b,2.40367900,,,,1.090,0.210,-0.210,1.00,1.21,5979.00,0,297.711849,45.261925
Kepler-115 c,8.99088900,,,,2.600,0.500,-0.500,1.00,1.21,5979.00,0,297.711849,45.261925
Kepler-116 b,5.96873400,,,,3.420,0.650,-0.650,1.16,1.45,6142.00,0,294.742070,43.536835
Kepler-119 c,4.12510300,,,,0.920,0.350,-0.350,,0.84,5595.00,0,295.946421,42.658924
Kepler-120 b,6.31250100,,,,2.150,0.170,-0.170,,0.53,4096.00,0,287.891632,39.339124
Kepler-120 c,12.79458500,,,,1.530,0.090,-0.090,,0.53,4096.00,0,287.891632,39.339124
Kepler-121 c,41.00801100,,,,2.270,1.250,-1.250,,0.70,5311.00,0,286.162064,39.677995
Kepler-122 b,5.76619300,,,,2.340,0.460,-0.460,0.99,1.22,6050.00,0,291.111883,39.949104
Kepler-122 c,12.46598800,,,,5.870,1.160,-1.160,0.99,1.22,6050.00,0,291.111883,39.949104
Kepler-122 e,37.99327300,,,,2.600,0.540,-0.540,0.99,1.22,6050.00,1,291.111883,39.949104
Kepler-123 b,17.23236600,,,,2.940,0.570,-0.570,1.03,1.26,6089.00,0,296.998621,42.781956
Kepler-123 c,26.69507400,,,,1.480,0.300,-0.300,1.03,1.26,6089.00,0,296.998621,42.781956
Kepler-124 c,13.82137500,,,,1.750,0.090,-0.090,,0.64,4984.00,0,286.752797,49.064911
Kepler-124 d,30.95085100,,,,1.110,0.070,-0.070,,0.64,4984.00,0,286.752797,49.064911
Kepler-852 b,44.93098040,,,,2.540,0.450,-0.170,1.19,1.16,6100.00,0,297.391593,48.560692
Kepler-853 b,7.16892463,,,,1.690,0.480,-0.280,1.30,1.55,6350.00,0,283.936824,49.110325
Kepler-854 b,2.14463285,,,,16.720,6.770,-2.290,1.17,1.27,6179.00,0,293.351293,43.134640
Kepler-856 b,8.02768059,,,,9.300,1.250,-0.600,0.96,0.93,5535.00,0,289.603836,46.314953
Kepler-842 b,1.21956827,,,,1.600,0.080,-0.090,0.78,0.73,4848.00,0,292.328581,49.653538
Kepler-843 b,2.05387982,,,,2.590,0.610,-0.250,1.02,1.03,5830.00,0,296.321994,48.971478
Kepler-844 b,2.61302086,,,,1.680,0.070,-0.240,0.59,0.57,4128.00,0,287.857729,48.774113
Kepler-845 b,0.92785982,,,,2.040,0.090,-0.290,0.79,0.75,4913.00,0,290.957565,49.203812
Kepler-846 b,19.80792185,,,,2.480,0.320,-0.180,0.94,0.91,5579.00,0,287.057016,49.046021
Kepler-847 b,2.34323190,,,,1.180,0.090,-0.050,0.83,0.77,4940.00,0,283.504798,49.451015
Kepler-848 b,6.91134416,,,,1.700,0.310,-0.250,1.01,1.20,5695.00,0,293.288273,48.811619
Kepler-849 b,394.62449040,,,,7.140,1.490,-1.370,1.23,1.64,6059.00,0,290.851779,48.521339
Kepler-850 b,7.19303878,,,,1.780,0.470,-0.210,1.06,1.09,5932.00,0,293.084462,48.575390
Kepler-851 b,8.50699658,,,,1.680,0.270,-0.210,0.89,0.85,5455.00,0,294.680286,49.140160
Kepler-857 b,85.35129427,,,,6.800,1.700,-0.680,0.99,0.99,5773.00,0,294.632389,43.400467
Kepler-858 b,76.13602028,,,,4.870,0.230,-0.200,0.96,0.91,5653.00,0,288.848631,51.209049
Kepler-859 b,20.38177573,,,,3.090,0.180,-0.150,0.81,0.77,5020.00,0,286.741873,43.190108
Kepler-861 b,3.94963138,,,,2.280,0.120,-0.130,0.82,0.78,5047.00,0,292.353929,46.226280
Kepler-862 b,3.14866453,,,,2.210,0.440,-0.170,0.88,0.84,5333.00,0,297.779266,46.492741
Kepler-863 b,15.59461874,,,,2.900,0.680,-0.320,0.96,0.95,5678.00,0,297.664523,43.248962
Kepler-864 b,5.83376092,,,,2.400,0.630,-0.220,1.00,1.00,5754.00,0,285.057092,46.320675
Kepler-866 b,2.61703254,,,,1.630,0.080,-0.120,0.75,0.71,4751.00,0,290.122337,43.085560
Kepler-867 b,150.24212700,,,,4.640,0.410,-0.300,0.92,0.91,5541.00,0,287.285313,51.249981
Kepler-868 b,5.03251791,,,,2.050,0.200,-0.170,0.93,0.89,5614.00,0,282.363512,46.675240
Kepler-870 b,21.35876210,,,,2.780,0.510,-0.290,1.01,1.02,5857.00,0,295.402544,50.478634
Kepler-871 b,22.04590180,,,,3.740,1.080,-0.550,1.11,1.14,5993.00,0,294.527110,43.368160
Kepler-872 b,2.57885507,,,,1.990,0.500,-0.230,1.05,1.08,5902.00,0,295.417461,43.605640
Kepler-215 e,68.16101000,,,,1.750,0.410,-0.410,0.77,1.03,5739.00,0,294.973509,45.213688
Kepler-216 b,7.69364100,,,,2.350,0.460,-0.460,,1.26,6091.00,0,293.728072,46.129154
Kepler-216 c,17.40666900,,,,3.040,0.590,-0.590,,1.26,6091.00,0,293.728072,46.129154
Kepler-217 b,5.37494300,,,,2.230,0.320,-0.320,,1.80,6171.00,0,293.037744,46.277508
Kepler-217 c,8.58600400,,,,1.850,0.270,-0.270,,1.80,6171.00,0,293.037744,46.277508
Kepler-218 b,3.61933700,,,,1.480,0.120,-0.120,,1.06,5502.00,0,295.412811,46.266472
Kepler-218 c,44.69957600,,,,3.140,0.260,-0.260,,1.06,5502.00,0,295.412811,46.266472
Kepler-219 b,4.58551200,,,,2.950,0.490,-0.490,,1.49,5786.00,0,288.738980,46.762558
Kepler-219 c,22.71461300,,,,3.580,0.600,-0.600,,1.49,5786.00,0,288.738980,46.762558
Kepler-219 d,47.90364500,,,,2.810,0.480,-0.480,,1.49,5786.00,0,288.738980,46.762558
Kepler-220 b,4.15980700,,,,0.810,0.050,-0.050,,0.67,4632.00,0,291.506237,46.895779
Kepler-220 c,9.03419900,,,,1.570,0.090,-0.090,,0.67,4632.00,0,291.506237,46.895779
Kepler-220 d,28.12239700,,,,0.980,0.060,-0.060,,0.67,4632.00,0,291.506237,46.895779
Kepler-220 e,45.90273300,,,,1.330,0.120,-0.120,,0.67,4632.00,0,291.506237,46.895779
Kepler-221 c,5.69058600,,,,2.930,0.270,-0.270,0.72,0.82,5243.00,0,296.654765,46.835270
Kepler-221 d,10.04156000,,,,2.730,0.250,-0.250,0.72,0.82,5243.00,0,296.654765,46.835270
Kepler-221 e,18.36991700,,,,2.630,0.250,-0.250,0.72,0.82,5243.00,1,296.654765,46.835270
Kepler-222 b,3.93698100,,,,3.160,1.400,-1.400,,0.87,5433.00,0,287.906100,46.937767
Kepler-222 d,28.08191200,,,,3.690,1.630,-1.630,,0.87,5433.00,0,287.906100,46.937767
Kepler-224 b,3.13292400,,,,1.390,0.090,-0.090,0.74,0.68,5018.00,0,290.934287,47.357601
Kepler-224 c,5.92500300,,,,3.120,0.260,-0.260,0.74,0.68,5018.00,0,290.934287,47.357601
Kepler-127 d,48.63040800,,,,2.640,0.140,-0.140,,1.36,6106.00,0,285.189985,46.027962
Kepler-129 b,15.79186000,,,,2.370,0.210,-0.210,1.18,1.64,5770.00,0,285.311284,47.848595
Kepler-129 c,82.20017000,,,,2.550,0.100,-0.100,1.18,1.64,5770.00,0,285.311284,47.848595
Kepler-125 b,4.16438900,,,,2.370,0.100,-0.100,0.55,0.51,3810.00,0,298.258123,47.604946
Kepler-126 b,10.49571100,,,,1.520,0.100,-0.100,,1.36,6239.00,1,289.347291,44.208553
Kepler-126 c,21.86974100,,,,1.580,0.130,-0.130,,1.36,6239.00,1,289.347291,44.208553
Kepler-126 d,100.28313400,,,,2.500,0.050,-0.050,,1.36,6239.00,1,289.347291,44.208553
Kepler-127 c,29.39319500,,,,2.660,0.140,-0.140,,1.36,6106.00,1,285.189985,46.027962
Kepler-130 b,8.45745800,,,,1.020,0.040,-0.040,1.00,1.13,5884.00,1,288.450665,40.245305
Kepler-130 d,87.51790500,,,,1.640,0.160,-0.160,1.00,1.13,5884.00,0,288.450665,40.245305
Kepler-132 b,6.17819600,,,,1.210,0.240,-0.240,,1.18,6003.00,0,283.235810,41.343037
Kepler-132 d,18.01019900,,,,1.550,0.300,-0.300,,1.18,6003.00,0,283.235810,41.343037
Kepler-133 b,8.12997600,,,,1.760,0.300,-0.300,,1.43,5736.00,0,297.277976,48.320328
Kepler-133 c,31.51758600,,,,2.840,0.480,-0.480,,1.43,5736.00,0,297.277976,48.320328
Kepler-134 b,5.31742900,,,,2.000,0.390,-0.390,,1.18,5983.00,0,284.739001,49.598396
Kepler-135 b,6.00253000,,,,1.810,0.350,-0.350,,1.27,6090.00,0,290.495129,38.795481
Kepler-135 c,11.44870800,,,,1.160,0.230,-0.230,,1.27,6090.00,0,290.495129,38.795481
Kepler-136 b,11.57890000,,,,2.050,0.380,-0.380,1.20,1.35,6165.00,1,296.467314,42.598771
Kepler-137 b,8.43638700,,,,1.470,0.110,-0.110,,0.80,5187.00,0,282.135534,43.039101
Kepler-137 c,18.73575300,,,,1.880,0.140,-0.140,,0.80,5187.00,0,282.135534,43.039101
Kepler-139 b,15.77104400,,,,2.940,0.570,-0.570,1.08,1.30,5594.00,0,282.391957,43.889351
Kepler-139 c,157.07287800,,,,3.380,0.690,-0.690,1.08,1.30,5594.00,1,282.391957,43.889351
Kepler-873 b,20.55338440,,,,3.750,1.640,-0.550,1.18,1.27,6163.00,0,296.403212,51.271339
Kepler-875 b,27.50737990,,,,2.900,1.020,-0.450,1.06,1.11,5958.00,0,297.301300,43.141888
Kepler-876 b,5.14438011,,,,1.430,0.100,-0.090,0.81,0.77,5060.00,0,283.478199,43.383781
Kepler-877 b,18.45847097,,,,2.120,0.140,-0.270,0.85,0.81,5261.00,0,289.859129,46.522667
Kepler-878 b,25.94220330,,,,1.930,0.120,-0.100,0.81,0.77,5044.00,0,285.296197,46.603439
Kepler-880 b,7.71468975,,,,2.660,1.050,-0.440,1.46,1.74,6761.00,0,281.971245,43.672771
Kepler-881 b,4.44448017,,,,1.780,0.430,-0.320,1.06,1.09,5961.00,0,288.992588,46.670753
Kepler-882 b,3.98953967,,,,1.230,0.150,-0.090,0.90,0.87,5476.00,0,294.649885,43.335587
Kepler-884 b,5.69919514,,,,1.230,0.050,-0.050,1.00,0.94,5715.00,0,292.584443,49.923161
Kepler-885 b,18.11472949,,,,2.500,0.400,-0.390,1.21,1.35,6187.00,0,288.661559,49.737206
Kepler-886 b,6.24146367,,,,1.520,0.420,-0.190,1.10,1.16,6098.00,0,286.271745,43.595234
Kepler-887 b,20.42228798,,,,1.840,0.270,-0.170,1.19,1.29,6194.00,0,290.090807,39.816989
Kepler-887 c,7.63846023,,,,1.130,0.170,-0.110,1.19,1.29,6194.00,0,290.090807,39.816989
Kepler-888 b,70.69790610,,,,1.760,0.080,-0.060,0.97,0.90,5875.00,0,295.521206,49.738632
Kepler-889 b,3.74443900,,,,1.090,0.190,-0.130,1.14,1.25,5961.00,0,291.467319,50.759489
Kepler-890 b,52.75875577,,,,8.890,2.860,-1.060,1.09,1.13,5954.00,0,288.435745,43.763496
Kepler-225 b,6.73897500,,,,1.200,0.070,-0.070,,0.48,3682.00,0,292.193984,47.457096
Kepler-224 e,18.64357700,,,,1.970,0.150,-0.150,0.74,0.68,5018.00,0,290.934287,47.357601
Kepler-225 c,18.79423400,,,,1.840,0.100,-0.100,,0.48,3682.00,0,292.193984,47.457096
Kepler-226 b,3.94099700,,,,1.550,0.620,-0.620,0.86,0.80,5571.00,0,292.376129,47.880989
Kepler-226 d,8.10904400,,,,1.220,0.490,-0.490,0.86,0.80,5571.00,0,292.376129,47.880989
Kepler-227 b,9.48801500,,,,3.110,1.570,-1.570,,1.09,5854.00,0,291.934236,48.141651
Kepler-227 c,54.41869400,,,,3.040,1.530,-1.530,,1.09,5854.00,0,291.934236,48.141651
Kepler-228 c,4.13444400,,,,2.700,1.240,-1.240,,1.01,6043.00,0,296.286142,48.224667
Kepler-228 d,11.09428600,,,,4.040,1.850,-1.850,,1.01,6043.00,0,296.286142,48.224667
Kepler-229 b,6.25297200,,,,2.200,0.780,-0.780,,0.73,5120.00,0,286.999471,48.375797
Kepler-229 d,41.19491200,,,,3.850,1.380,-1.380,,0.73,5120.00,1,286.999471,48.375797
Kepler-230 b,32.62555500,,,,4.260,2.170,-2.170,,0.82,5588.00,1,285.718538,48.505859
Kepler-230 c,91.77324200,,,,2.040,1.040,-1.040,,0.82,5588.00,0,285.718538,48.505859
Kepler-231 c,19.27156600,,,,1.930,0.190,-0.190,0.58,0.49,3767.00,1,293.973353,50.531914
Kepler-232 b,4.43122200,,,,3.080,1.470,-1.470,,0.97,5847.00,0,295.816158,51.121742
Kepler-232 c,11.37934900,,,,3.830,1.860,-1.860,,0.97,5847.00,0,295.816158,51.121742
Kepler-233 b,8.47238200,,,,2.430,0.660,-0.660,,0.76,5360.00,0,296.366522,51.319523
Kepler-234 b,2.71150600,,,,3.700,1.660,-1.660,,1.11,6224.00,0,291.653519,38.494659
Kepler-234 c,7.21205000,,,,3.510,1.560,-1.560,,1.11,6224.00,0,291.653519,38.494659
Kepler-235 b,3.34022200,,,,2.230,0.100,-0.100,0.59,0.55,4255.00,0,286.079103,39.278313
Kepler-235 d,20.06054800,,,,2.050,0.100,-0.100,0.59,0.55,4255.00,0,286.079103,39.278313
Kepler-235 e,46.18366900,,,,2.220,0.290,-0.290,0.59,0.55,4255.00,0,286.079103,39.278313
Kepler-236 b,8.29561100,,,,1.570,0.120,-0.120,0.56,0.51,3750.00,0,283.866378,39.898092
Kepler-237 b,4.71510600,,,,1.410,0.750,-0.750,0.70,0.72,4861.00,0,283.221387,40.421834
K2-4 b,10.00341700,,,,2.100,0.200,-0.190,0.64,0.57,4014.73,0,174.745636,-3.905585
Kepler-141 b,3.10767500,,,,0.690,0.050,-0.050,1.00,0.79,4910.00,0,297.970897,47.731678
Kepler-141 c,7.01060600,,,,1.410,0.090,-0.090,1.00,0.79,4910.00,0,297.970897,47.731678
Kepler-140 c,91.35328200,,,,1.800,0.350,-0.350,,1.29,6077.00,0,287.369468,46.768213
Kepler-142 c,4.76170200,,,,2.860,0.550,-0.550,0.99,1.27,5790.00,0,295.118899,48.481281
Kepler-142 d,41.80911800,,,,2.160,0.470,-0.470,0.99,1.27,5790.00,0,295.118899,48.481281
Kepler-143 b,16.00758300,,,,2.410,0.600,-0.600,,1.36,5848.00,0,298.067706,49.412605
Kepler-143 c,27.08251100,,,,3.370,0.840,-0.840,,1.36,5848.00,0,298.067706,49.412605
Kepler-144 b,5.88527300,,,,1.330,0.260,-0.260,1.03,1.24,6075.00,0,281.915678,42.775513
Kepler-144 c,10.10466500,,,,1.350,0.260,-0.260,1.03,1.24,6075.00,0,281.915678,42.775513
Kepler-146 b,31.15879900,,,,3.710,0.700,-0.700,,1.21,5948.00,0,294.110756,38.710230
Kepler-146 c,76.73217100,,,,3.130,0.590,-0.590,,1.21,5948.00,0,294.110756,38.710230
Kepler-147 b,12.61058400,,,,1.530,0.310,-0.310,1.01,1.47,6012.00,0,287.975766,39.087181
Kepler-147 c,33.41642300,,,,2.430,0.490,-0.490,1.01,1.47,6012.00,0,287.975766,39.087181
Kepler-148 b,1.72936600,,,,1.800,0.870,-0.870,,0.85,5272.00,0,289.786216,46.858788
Kepler-148 c,4.18004300,,,,3.600,1.760,-1.760,,0.85,5272.00,0,289.786216,46.858788
Kepler-149 b,29.19894300,,,,4.210,0.600,-0.600,,0.95,5381.00,0,285.853667,38.384119
Kepler-149 c,55.32832800,,,,1.610,0.240,-0.240,,0.95,5381.00,0,285.853667,38.384119
Kepler-149 d,160.01803200,,,,3.960,0.680,-0.680,,0.95,5381.00,0,285.853667,38.384119
Kepler-150 b,3.42805400,,,,1.250,0.190,-0.190,,0.94,5560.00,0,288.234084,40.520905
Kepler-150 d,12.56093000,,,,2.790,0.410,-0.410,,0.94,5560.00,0,288.234084,40.520905
Kepler-150 e,30.82655700,,,,3.120,0.550,-0.550,,0.94,5560.00,0,288.234084,40.520905
Kepler-151 b,15.22895800,,,,3.060,1.530,-1.530,0.83,0.83,5460.00,0,292.162778,41.023235
Kepler-152 b,18.20797300,,,,2.790,0.170,-0.170,,0.72,5088.00,0,286.865479,41.989086
Kepler-304 e,1.49914695,,,,1.200,0.060,-0.030,0.80,0.69,4731.00,0,294.441763,40.557587
Kepler-891 b,53.44945593,,,,6.410,1.460,-0.600,1.06,1.07,5887.00,0,291.083797,40.355255
Kepler-892 b,13.75210720,,,,2.810,0.370,-0.270,0.75,0.72,4747.00,0,283.129641,43.888241
Kepler-893 b,6.33855761,,,,3.030,0.520,-0.370,1.00,0.99,5820.00,0,284.963031,43.913006
Kepler-894 b,9.80322400,,,,2.780,0.300,-0.340,0.87,0.85,5603.00,0,288.734088,46.939396
Kepler-895 b,2.80624233,,,,1.540,0.090,-0.070,0.65,0.61,4315.00,0,289.290653,51.408891
Kepler-896 b,144.54739600,,,,2.530,0.180,-0.190,0.84,0.81,5262.00,0,282.439182,43.734486
Kepler-897 b,8.04726420,,,,2.390,0.660,-0.250,1.03,1.04,5839.00,0,290.586837,51.695820
Kepler-898 b,5.87061910,,,,1.490,0.300,-0.090,0.65,0.62,4223.00,0,286.585389,46.870930
Kepler-899 b,19.17891293,,,,2.680,0.460,-0.260,0.93,0.91,5595.00,0,297.482580,40.680780
Kepler-900 b,6.99130860,,,,2.080,0.120,-0.340,0.78,0.73,4836.00,0,296.177297,46.999020
Kepler-901 b,3.51749439,,,,1.370,0.070,-0.060,0.59,0.57,4184.00,0,291.152951,40.887497
Kepler-902 b,40.10995470,,,,2.540,0.330,-0.180,0.95,0.93,5647.00,0,289.731692,46.953823
Kepler-903 b,10.35077210,,,,2.010,0.350,-0.360,0.98,0.97,5682.00,0,288.771018,40.664176
Kepler-903 c,62.92285570,,,,2.530,0.400,-0.450,0.98,0.97,5682.00,0,288.771018,40.664176
Kepler-904 b,3.02166863,,,,1.770,0.590,-0.240,1.16,1.25,6160.00,0,288.822916,40.389049
Kepler-905 b,5.08274652,,,,1.410,0.050,-0.050,0.95,0.86,5461.00,0,290.051123,46.713375
Kepler-906 b,41.69799760,,,,2.110,0.100,-0.100,1.06,1.02,6035.00,0,291.405561,40.125487
Kepler-907 b,15.86621821,,,,1.200,0.060,-0.050,1.08,1.38,6106.00,0,285.476589,41.632740
Kepler-908 b,1.34059747,,,,1.220,0.100,-0.080,1.11,1.12,5973.00,0,295.322517,39.376484
Kepler-909 b,13.93290318,,,,1.470,0.160,-0.110,1.17,1.23,6154.00,0,289.506358,45.370998
Kepler-910 b,2.36436901,,,,0.820,0.040,-0.030,1.26,1.50,6230.00,0,296.047358,42.743006
Kepler-911 b,20.31050100,,,,2.600,0.100,-0.100,1.34,1.99,6112.00,0,298.589186,40.750689
Kepler-912 b,2.53475627,,,,2.800,0.840,-0.510,1.07,1.11,5998.00,0,298.111206,41.758333
Kepler-913 b,10.29672521,,,,2.060,0.080,-0.060,0.63,0.61,4687.00,0,297.583122,41.952431
Kepler-914 b,4.40966548,,,,1.380,0.170,-0.120,1.10,1.15,5877.00,0,290.412001,44.899330
Kepler-915 b,4.59489604,,,,1.500,0.330,-0.190,1.21,1.38,6173.00,0,290.592077,45.737137
LkCa 15 c,,,,,,,,,,,0,69.824148,22.350967
K2-5 b,5.73594000,,,,1.910,0.440,-0.440,0.61,0.57,3930.00,0,169.303497,-1.877976
Kepler-1111 b,8.79617863,,,,2.000,0.540,-0.260,1.10,1.15,6077.00,0,295.463372,45.812744
K2-5 c,10.93241000,,,,2.260,0.620,-0.620,0.61,0.57,3930.00,0,169.303497,-1.877976
K2-7 b,28.67992000,,,,2.670,0.560,-0.560,0.97,0.96,5772.00,0,167.093765,-1.065755
K2-8 b,10.35239000,,,,3.580,0.710,-0.710,0.78,0.74,4870.00,0,169.793671,-0.284375
K2-9 b,18.44980000,,,,2.250,0.530,-0.960,0.30,0.31,3390.00,0,176.264465,0.005301
K2-19 b,7.91940000,,,,7.740,0.390,-0.390,0.93,0.86,5430.00,1,174.960312,0.603575
K2-19 c,11.90715000,,,,4.860,0.620,-0.440,0.93,0.86,5430.00,1,174.960312,0.603575
K2-12 b,8.28212000,,,,2.330,0.580,-0.580,1.01,1.01,5800.00,0,173.192032,2.244884
K2-14 b,8.36802000,,,,4.810,0.420,-0.420,0.47,0.45,3789.00,0,178.057022,2.594245
K2-15 b,11.81040000,,,,2.480,0.300,-0.300,0.72,0.68,5131.00,0,178.110794,4.254747
K2-16 b,7.61880000,,,,2.020,0.240,-0.240,0.68,0.66,4742.00,0,175.097260,4.557340
K2-17 b,17.96753000,,,,2.230,0.200,-0.200,0.71,0.66,4320.00,0,178.329773,6.412261
LkCa 15 b,,,,,,,,,,,0,69.824148,22.350967
Kepler-1112 b,14.36267939,,,,3.020,1.280,-0.520,1.34,1.54,6496.00,0,296.968815,47.751488
Kepler-1113 b,42.30049540,,,,2.810,1.130,-0.360,1.12,1.17,5931.00,0,289.406695,39.338834
Kepler-1114 b,14.97435694,,,,1.350,0.080,-0.070,0.87,0.83,5374.00,0,299.236933,45.834698
Kepler-1115 b,23.55407250,,,,1.700,0.290,-0.200,1.60,1.73,8480.00,0,294.991772,40.144409
Kepler-1116 b,41.69778270,,,,2.540,0.540,-0.220,0.95,0.93,5641.00,0,291.933655,44.115505
Kepler-1117 b,4.79028459,,,,1.110,0.170,-0.080,0.95,0.93,5612.00,0,292.084780,49.237480
Kepler-154 c,62.30327600,,,,2.950,0.620,-0.620,0.89,1.00,5690.00,0,289.780522,49.896530
Kepler-155 b,5.93119400,,,,2.090,0.210,-0.210,0.58,0.62,4508.00,0,288.495833,51.081947
Kepler-155 c,52.66179300,,,,2.240,0.150,-0.150,0.58,0.62,4508.00,0,288.495833,51.081947
Kepler-156 c,15.90680100,,,,2.550,0.190,-0.190,,0.81,5094.00,0,290.296515,37.749490
Kepler-152 c,88.25505500,,,,2.390,0.160,-0.160,,0.72,5088.00,0,286.865479,41.989086
Kepler-153 b,18.87022700,,,,2.920,1.760,-1.760,,0.89,5404.00,0,282.460522,48.257118
Kepler-153 c,46.90232000,,,,2.530,1.520,-1.520,,0.89,5404.00,0,282.460522,48.257118
Kepler-157 b,1.73234200,,,,1.320,0.260,-0.260,,1.04,5774.00,0,291.097225,38.875609
Kepler-157 c,13.54050000,,,,2.240,0.430,-0.430,,1.04,5774.00,0,291.097225,38.875609
Kepler-158 c,28.55138300,,,,1.900,0.300,-0.300,,0.62,4623.00,0,284.032244,39.781348
Kepler-159 b,10.13962300,,,,2.380,0.180,-0.180,,0.66,4625.00,1,297.070170,40.868784
Kepler-159 c,43.59579200,,,,3.410,0.280,-0.280,,0.66,4625.00,1,297.070170,40.868784
Kepler-160 b,4.30942700,,,,1.540,0.760,-0.760,,0.88,5857.00,0,287.773581,42.869286
Kepler-161 b,4.92135500,,,,2.120,0.140,-0.140,0.77,0.81,5078.00,0,290.516491,43.083824
Kepler-161 c,7.06424000,,,,2.050,0.150,-0.150,0.77,0.81,5078.00,1,290.516491,43.083824
Kepler-162 b,6.91979800,,,,1.260,0.670,-0.670,,0.96,5816.00,0,297.278910,43.724018
Kepler-163 b,7.81093700,,,,1.050,0.440,-0.440,0.96,0.92,5776.00,0,295.002819,46.987328
Kepler-163 c,21.34726200,,,,2.260,0.940,-0.940,0.96,0.92,5776.00,0,295.002819,46.987328
Kepler-164 b,5.03503000,,,,1.410,0.280,-0.280,1.11,1.15,5888.00,0,287.780828,47.629913
Kepler-164 d,28.98676900,,,,2.450,0.470,-0.470,1.11,1.15,5888.00,0,287.780828,47.629913
Kepler-165 b,8.18084800,,,,2.320,1.410,-1.410,,0.77,5211.00,0,280.691016,47.809735
Kepler-165 c,15.31299000,,,,2.230,1.350,-1.350,,0.77,5211.00,0,280.691016,47.809735
Kepler-166 c,34.26028100,,,,2.380,1.230,-1.230,,0.74,5413.00,0,293.160171,48.881191
Kepler-167 b,4.39316320,,,,1.615,0.047,-0.043,0.77,0.73,4890.00,0,292.658441,38.345413
HD 189733 b,2.21857520,,,,,,,0.85,0.81,4875.00,0,300.182129,22.710854
HD 209458 b,3.52474859,,,,14.796,0.269,-0.280,1.10,1.12,,0,330.794891,18.884319
Kepler-388 b,3.17331500,,,,0.810,0.100,-0.100,0.59,0.59,4498.00,0,284.828038,44.608730
Kepler-389 b,3.24410700,,,,1.510,0.770,-0.770,0.78,0.79,5376.00,0,291.960005,44.900024
Kepler-389 c,14.51143000,,,,1.460,0.750,-0.750,0.78,0.79,5376.00,0,291.960005,44.900024
Kepler-390 b,6.73808800,,,,0.820,0.070,-0.070,0.67,0.78,5166.00,0,291.628777,41.208603
Kepler-391 b,7.41675500,,,,3.200,0.780,-0.780,1.22,3.57,4940.00,0,290.621815,51.057304
Kepler-391 c,20.48543500,,,,3.540,0.860,-0.860,1.22,3.57,4940.00,0,290.621815,51.057304
Kepler-392 b,5.34185300,,,,1.000,0.210,-0.210,1.13,1.13,5938.00,0,288.660765,43.368084
Kepler-393 b,9.18241700,,,,1.290,0.250,-0.250,1.32,1.38,6189.00,0,290.995257,45.192215
Kepler-393 c,14.61361200,,,,1.330,0.310,-0.310,1.32,1.38,6189.00,0,290.995257,45.192215
