pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag,ra,dec
HD 85512 b,58.43000000,,,,,,,0.69,,4715.00,0,147.779388,-43.502789
Kepler-98 b,1.54168000,3.55000,1.60000,-1.60000,1.990,0.220,-0.220,0.99,1.11,5539.00,0,285.661662,37.964506
Kepler-414 b,4.70000000,3.50000,3.40000,-2.90000,1.710,0.310,-0.140,0.89,0.95,,1,297.961566,48.244362
Kepler-307 c,13.07290000,3.64000,0.65000,-0.58000,2.200,0.070,-0.070,0.91,0.81,5367.00,1,297.795132,40.417703
Kepler-102 d,10.31170000,3.80000,1.80000,-1.80000,1.180,0.040,-0.040,0.81,0.76,4909.00,0,281.482749,47.208031
GJ 667 C c,28.14000000,,,,,,,0.33,,3350.00,0,259.745085,-34.996827
Kepler-114 d,11.77600000,3.90000,1.70000,-1.70000,2.530,0.280,-0.280,0.56,0.67,4605.00,1,294.121421,48.349525
Kepler-60 c,8.91870000,3.85000,0.81000,-0.81000,1.900,0.150,-0.150,1.04,1.26,5905.00,1,288.961242,42.265011
PSR B1257+12 d,98.21140000,3.90000,0.20000,-0.20000,,,,,,,0,195.014903,12.682353
tau Cet f,636.13000000,,,,,,,0.78,,,0,26.017012,-15.937480
tau Cet e,162.87000000,,,,,,,0.78,,,0,26.017012,-15.937480
Kepler-48 b,4.77800000,3.94000,2.10000,-2.10000,1.880,0.100,-0.100,0.88,0.89,5194.00,1,299.139212,40.949020
Kepler-29 c,13.28840000,4.00000,1.23000,-1.29000,3.140,0.200,-0.200,0.98,0.93,5701.00,1,298.348324,47.491226
HD 40307 b,4.31230000,,,,,,,0.77,,4956.00,0,88.517670,-60.023472
Kepler-93 b,4.72673978,4.02000,0.68000,-0.68000,1.478,0.019,-0.019,0.91,0.92,5669.00,0,291.418281,38.672354
Kepler-80 e,4.64489000,4.13000,0.81000,-0.95000,1.600,0.080,-0.070,0.73,0.68,4540.00,1,296.112564,39.978779
Kepler-51 c,85.31200000,4.00000,0.40000,-0.40000,9.000,2.800,-1.700,1.04,0.94,6018.00,1,296.479776,49.937683
Kepler-79 e,81.06590000,4.10000,1.20000,-1.10000,3.490,0.140,-0.140,1.17,1.30,6174.00,1,300.517131,44.381580
