pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag
HD 160691 d,9.63860000,,,,,,,1.08,,5807.00,0
GJ 163 b,8.63182000,,,,,,,0.40,,3500.00,0
Kepler-94 b,2.50806000,10.84000,1.40000,-1.40000,3.510,0.150,-0.150,0.81,0.76,4781.00,0
HD 219134 g,94.20000000,,,,,,,0.81,0.78,4699.00,0
Kepler-79 b,13.48450000,10.90000,7.40000,-6.00000,3.470,0.070,-0.070,1.17,1.30,6174.00,1
K2-95 b,10.13389000,10.99000,2.73000,-2.73000,3.470,0.780,-0.530,0.36,0.40,3471.00,0
GJ 674 b,4.69380000,,,,,,,0.35,,3600.00,0
Kepler-417 b,12.33100000,11.00000,9.30000,-7.90000,2.310,0.860,-0.170,0.90,0.81,,1
Kepler-106 e,43.84450000,11.17000,5.80000,-5.80000,2.560,0.330,-0.330,1.00,1.04,5858.00,0
Kepler-30 b,29.33434000,11.30000,1.40000,-1.40000,3.900,0.200,-0.200,0.99,0.95,5498.00,1
HIP 57274 b,8.13520000,,,,,,,,,,0
HIP 116454 b,9.12050000,11.82000,1.33000,-1.33000,2.530,0.180,-0.180,0.78,0.72,5089.00,0
Kepler-113 b,4.75400000,11.70000,4.20000,-4.20000,1.820,0.050,-0.050,0.75,0.69,4725.00,0
HD 69830 c,31.56000000,,,,,,,0.86,,5385.00,0
K2-38 b,4.01593000,12.00000,2.90000,-2.90000,1.550,0.160,-0.160,1.07,1.10,5757.00,0
Kepler-37 c,21.30200000,12.00000,,,0.750,0.030,-0.030,0.80,0.77,5417.00,0
HD 10180 d,16.35700000,,,,,,,1.06,1.11,5911.00,0
CoRoT-22 b,9.75598000,12.20000,14.00000,-8.80000,4.880,0.170,-0.390,1.10,1.14,5939.00,0
K2-32 c,20.66020000,12.10000,,,3.010,0.250,-0.250,0.86,0.84,5275.00,0
Kepler-37 d,39.79220000,12.20000,,,1.940,0.060,-0.060,0.80,0.77,5417.00,1
Kepler-20 c,10.85409089,12.75000,2.17000,-2.24000,3.047,0.064,-0.056,0.95,0.96,5495.00,0
HD 164922 c,75.76500000,,,,,,,0.87,1.00,5293.00,0
HD 125595 b,9.67370000,,,,,,,,,,0
Kepler-95 b,11.52310000,13.00000,2.90000,-2.90000,3.420,0.090,-0.090,1.08,1.41,5699.00,0
Kepler-19 c,28.73100000,13.10000,2.70000,-2.70000,,,,0.94,0.86,5544.00,0
HD 10180 c,5.75969000,,,,,,,1.06,1.11,5911.00,0
Kepler-238 f,50.44700000,13.50000,2.90000,-2.50000,2.000,0.850,-0.170,1.06,1.43,5751.00,1
GJ 3470 b,3.33664870,13.73000,1.61000,-1.61000,3.880,0.320,-0.320,0.51,0.48,3652.00,0
Kepler-62 d,18.16406000,14.00000,,,1.950,0.070,-0.070,0.69,0.64,4925.00,0
HD 4308 b,15.56000000,,,,,,,0.83,,5685.00,0
OGLE 2005-BLG-169L b,,14.10000,0.90000,-0.90000,,,,0.69,,,0
BD-08 2823 b,5.60000000,,,,,,,0.74,,4746.00,0
HD 42618 b,149.61000000,,,,,,,1.01,1.00,5727.00,0
Kepler-48 c,9.67395000,14.61000,2.30000,-2.30000,2.710,0.140,-0.140,0.88,0.89,5194.00,1
GJ 876 e,124.26000000,14.60000,1.70000,-1.70000,,,,0.33,,,0
Kepler-350 d,26.13600000,14.90000,5.30000,-4.70000,2.800,1.280,-0.540,1.00,1.53,6186.00,1
HD 177565 b,44.50500000,,,,,,,1.00,,,0
KOI-94 c,10.42364800,15.60000,5.70000,-15.60000,4.320,0.410,-0.410,1.28,1.52,6182.00,1
GJ 581 b,5.36860000,,,,,,,0.31,0.29,,0
HD 102365 b,122.10000000,,,,,,,0.85,,5630.00,0
HD 77338 b,5.73610000,15.90000,4.70000,-5.30000,,,,0.93,0.88,5370.00,0
HD 164595 b,40.00000000,,,,,,,0.99,,5790.00,0
HD 219134 d,46.85900000,16.17000,0.64000,-0.64000,1.610,0.020,-0.020,0.81,0.78,4699.00,0
Kepler-276 d,48.64800000,16.30000,5.00000,-4.30000,2.800,1.230,-0.270,1.10,1.05,6105.00,1
Kepler-131 b,16.09200000,16.13000,3.50000,-3.50000,2.410,0.200,-0.200,1.02,1.03,5685.00,0
